collection,scene_index
data_acquisition_s2,20230606T053649_20230606T054202_T43TFH
data_acquisition_s2,20230606T053649_20230606T054202_T43TFJ
data_acquisition_s2,20230609T054639_20230609T055542_T43TFH
data_acquisition_s2,20230611T053651_20230611T053739_T43TFH
data_acquisition_s2,20230611T053651_20230611T053739_T43TFJ
data_acquisition_s2,20230616T053649_20230616T054203_T43TFH
data_acquisition_s2,20230616T053649_20230616T054203_T43TFJ
data_acquisition_s2,20230626T053649_20230626T054202_T43TFH
data_acquisition_s2,20230626T053649_20230626T054202_T43TFJ
data_acquisition_s2,20230701T053651_20230701T054522_T43TFH
data_acquisition_s2,20230701T053651_20230701T054522_T43TFJ
data_acquisition_s2,20230709T054639_20230709T055539_T43TFJ
data_acquisition_s2,20230711T053651_20230711T053718_T43TFH
data_acquisition_s2,20230711T053651_20230711T053718_T43TFJ
data_acquisition_s2,20230714T054641_20230714T055452_T43TFH
data_acquisition_s2,20230714T054641_20230714T055452_T43TFJ
data_acquisition_s2,20230716T053649_20230716T054203_T43TFH
data_acquisition_s2,20230716T053649_20230716T054203_T43TFJ
data_acquisition_s2,20230719T054639_20230719T055539_T43TFJ
data_acquisition_s2,20230724T054641_20230724T055535_T43TFH
data_acquisition_s2,20230724T054641_20230724T055535_T43TFJ
data_acquisition_s2,20230726T053649_20230726T054204_T43TFH
data_acquisition_s2,20230726T053649_20230726T054204_T43TFJ
data_acquisition_s2,20230729T054639_20230729T055539_T43TFH
data_acquisition_s2,20230729T054639_20230729T055539_T43TFJ
data_acquisition_s2,20230803T054641_20230803T055539_T43TFH
data_acquisition_s2,20230803T054641_20230803T055539_T43TFJ
data_acquisition_s2,20230805T053649_20230805T054203_T43TFH
data_acquisition_s2,20230805T053649_20230805T054203_T43TFJ
data_acquisition_s2,20230810T053651_20230810T053931_T43TFH
data_acquisition_s2,20230810T053651_20230810T053931_T43TFJ
data_acquisition_s2,20230813T054641_20230813T054844_T43TFJ
data_acquisition_s2,20230820T053651_20230820T053937_T43TFH
data_acquisition_s2,20230820T053651_20230820T053937_T43TFJ
data_acquisition_s2,20230823T054641_20230823T055246_T43TFH
data_acquisition_s2,20230823T054641_20230823T055246_T43TFJ
data_acquisition_s2,20230825T053649_20230825T054054_T43TFH
data_acquisition_s2,20230825T053649_20230825T054054_T43TFJ
data_acquisition_s2,20230830T053651_20230830T053936_T43TFH
data_acquisition_s2,20230830T053651_20230830T053936_T43TFJ
data_acquisition_s2,20230902T054641_20230902T055245_T43TFH
data_acquisition_s2,20230902T054641_20230902T055245_T43TFJ
data_acquisition_s2,20230907T054639_20230907T055157_T43TFH
data_acquisition_s2,20230907T054639_20230907T055157_T43TFJ
data_acquisition_s2,20230917T054639_20230917T054755_T43TFH
data_acquisition_s2,20230917T054639_20230917T054755_T43TFJ
data_acquisition_s2,20230924T053649_20230924T054545_T43TFH
data_acquisition_s2,20230924T053649_20230924T054545_T43TFJ
data_acquisition_s2,20230927T054639_20230927T055533_T43TFH
data_acquisition_s2,20230927T054639_20230927T055533_T43TFJ
data_acquisition_s2,20231004T053649_20231004T054609_T43TFH
data_acquisition_s2,20231004T053649_20231004T054609_T43TFJ
data_acquisition_s2,20231009T053731_20231009T053725_T43TFH
data_acquisition_s2,20231009T053731_20231009T053725_T43TFJ
data_acquisition_s2,20231012T054751_20231012T054832_T43TFH
data_acquisition_s2,20231012T054751_20231012T054832_T43TFJ
data_acquisition_s2,20231014T053759_20231014T053850_T43TFH
data_acquisition_s2,20231017T054829_20231017T054826_T43TFH
data_acquisition_s2,20231017T054829_20231017T054826_T43TFJ
data_acquisition_s2,20231019T053831_20231019T053832_T43TFH
data_acquisition_s2,20231019T053831_20231019T053832_T43TFJ
data_acquisition_s2,20231022T054901_20231022T054910_T43TFH
data_acquisition_s2,20231022T054901_20231022T054910_T43TFJ
data_acquisition_s2,20231024T053909_20231024T054204_T43TFH
data_acquisition_s2,20231101T055001_20231101T054956_T43TFH
data_acquisition_s2,20231103T054009_20231103T054521_T43TFH
data_acquisition_s2,20231103T054009_20231103T054521_T43TFJ
data_acquisition_s2,20231106T055029_20231106T055026_T43TFH
data_acquisition_s2,20231111T055051_20231111T055051_T43TFH
data_acquisition_s2,20231111T055051_20231111T055051_T43TFJ
data_acquisition_s2,20231113T054059_20231113T054055_T43TFH
data_acquisition_s2,20231116T055109_20231116T055536_T43TFH
data_acquisition_s2,20231116T055109_20231116T055536_T43TFJ
data_acquisition_s2,20231118T054111_20231118T054109_T43TFH
data_acquisition_s2,20231121T055131_20231121T055132_T43TFH
data_acquisition_s2,20231121T055131_20231121T055132_T43TFJ
data_acquisition_s2,20231126T055149_20231126T055149_T43TFH
data_acquisition_s2,20231126T055149_20231126T055149_T43TFJ
data_acquisition_s2,20231201T055201_20231201T055202_T43TFH
data_acquisition_s2,20231203T054209_20231203T054649_T43TFH
data_acquisition_s2,20231203T054209_20231203T054649_T43TFJ
data_acquisition_s2,20231208T054221_20231208T054219_T43TFH
data_acquisition_s2,20231213T054229_20231213T054230_T43TFH
data_acquisition_s2,20231218T054231_20231218T054232_T43TFH
data_acquisition_s2,20231218T054231_20231218T054232_T43TFJ
data_acquisition_s2,20231221T055241_20231221T055239_T43TFH
data_acquisition_s2,20231228T054231_20231228T054233_T43TFH
data_acquisition_s2,20240105T055229_20240105T055232_T43TFJ
data_acquisition_s2,20240107T054221_20240107T054218_T43TFH
data_acquisition_s2,20240112T054209_20240112T054208_T43TFH
data_acquisition_s2,20240112T054209_20240112T054208_T43TFJ
data_acquisition_s2,20240122T054139_20240122T054539_T43TFH
data_acquisition_s2,20240122T054139_20240122T054539_T43TFJ
data_acquisition_s2,20240125T055129_20240125T055126_T43TFH
data_acquisition_s2,20240125T055129_20240125T055126_T43TFJ
data_acquisition_s2,20240127T054101_20240127T054103_T43TFH
data_acquisition_s2,20240201T054049_20240201T054203_T43TFH
data_acquisition_s2,20240206T054021_20240206T054015_T43TFH
data_acquisition_s2,20240209T055001_20240209T055004_T43TFH
data_acquisition_s2,20240211T053949_20240211T054421_T43TFH
data_acquisition_s2,20240211T053949_20240211T054421_T43TFJ
data_acquisition_s2,20240221T053849_20240221T054113_T43TFH
data_acquisition_s2,20240221T053849_20240221T054113_T43TFJ
data_acquisition_s2,20240226T053811_20240226T053808_T43TFJ
data_acquisition_s2,20240229T054751_20240229T054758_T43TFH
data_acquisition_s2,20240229T054751_20240229T054758_T43TFJ
data_acquisition_s2,20240305T054719_20240305T055640_T43TFH
data_acquisition_s2,20240305T054719_20240305T055640_T43TFJ
data_acquisition_s2,20240315T054639_20240315T055528_T43TFH
data_acquisition_s2,20240317T053641_20240317T054430_T43TFH
data_acquisition_s2,20240317T053641_20240317T054430_T43TFJ
data_acquisition_s2,20240325T054639_20240325T054926_T43TFH
data_acquisition_s2,20240325T054639_20240325T054926_T43TFJ
data_acquisition_s2,20240327T053641_20240327T053939_T43TFH
data_acquisition_s2,20240401T053639_20240401T054331_T43TFH
data_acquisition_s2,20240401T053639_20240401T054331_T43TFJ
data_acquisition_s2,20240406T053641_20240406T054547_T43TFH
data_acquisition_s2,20240406T053641_20240406T054547_T43TFJ
data_acquisition_s2,20240411T053639_20240411T054046_T43TFH
data_acquisition_s2,20240419T054641_20240419T055435_T43TFJ
data_acquisition_s2,20240421T053639_20240421T054158_T43TFH
data_acquisition_s2,20240421T053639_20240421T054158_T43TFJ
data_acquisition_s2,20240501T053639_20240501T054158_T43TFJ
data_acquisition_s2,20240509T054641_20240509T055101_T43TFH
data_acquisition_s2,20240509T054641_20240509T055101_T43TFJ
data_acquisition_s2,20240514T054639_20240514T055022_T43TFH
data_acquisition_s2,20240514T054639_20240514T055022_T43TFJ
